"tm_code","tm_formal_name","ntp_code","ntp_formal_name","mp_code","mp_formal_name"
"8001070","aclidinium","9005324","aclidinium bromide 400 mcg per actuation inhalation powder","02409720","TUDORZA GENUAIR (aclidinium bromide 400 mcg per actuation inhalation powder) ASTRAZENECA CANADA INC"
"8001071","aclidinium and formoterol","9005740","aclidinium bromide 400 mcg per actuation and formoterol fumarate 12 mcg per actuation inhalation powder","02439530","DUAKLIR GENUAIR (aclidinium bromide 400 mcg per actuation and formoterol fumarate dihydrate 12 mcg per actuation inhalation powder) ASTRAZENECA CANADA INC"
"8000851","hydralazine","9002309","hydralazine hydrochloride 10 mg oral tablet","02457865","JAMP-HYDRALAZINE (hydralazine hydrochloride 10 mg oral tablet) JAMP PHARMA CORPORATION"
"8000851","hydralazine","9002373","hydralazine hydrochloride 25 mg oral tablet","02457873","JAMP-HYDRALAZINE (hydralazine hydrochloride 25 mg oral tablet) JAMP PHARMA CORPORATION"
"8000851","hydralazine","9002374","hydralazine hydrochloride 50 mg oral tablet","02457881","JAMP-HYDRALAZINE (hydralazine hydrochloride 50 mg oral tablet) JAMP PHARMA CORPORATION"
"8000055","folic acid","9000109","folic acid 5 mg oral tablet","00498777","FOLIC ACID TAB 5MG (folic acid 5 mg oral tablet) PENDOPHARM DIVISION OF DE PHARMASCIENCE INC"
"8001049","aminophylline","9012367","aminophylline 250 mg per 10 mL solution for injection vial","00497193","AMINOPHYLLINE INJECTION USP (aminophylline 250 mg per 10 mL solution for injection vial) PFIZER CANADA INC"
"8001049","aminophylline","9012370","aminophylline 500 mg per 10 mL solution for injection vial","00582654","AMINOPHYLLINE INJ 50MG/ML (aminophylline 500 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD"
"8001049","aminophylline","9012367","aminophylline 250 mg per 10 mL solution for injection vial","00582662","AMINOPHYLLINE INJ 25MG/ML (aminophylline 250 mg per 10 mL solution for injection vial) OMEGA LABORATORIES LTD"
"8000851","hydralazine","9012384","hydralazine hydrochloride 20 mg per 1 mL solution for injection vial","00723754","APRESOLINE (hydralazine hydrochloride 20 mg per 1 mL solution for injection vial) STERIMAX INC"
"8001100","brinzolamide","9012376","brinzolamide 1 % ophthalmic drops","02238873","AZOPT (brinzolamide 1 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC"
"8000930","budesonide and formoterol","9012377","budesonide 100 mcg per actuation and formoterol fumarate 6 mcg per actuation inhalation powder","02245385","SYMBICORT 100 TURBUHALER (budesonide 100 mcg per actuation and formoterol fumarate dihydrate 6 mcg per actuation inhalation powder) ASTRAZENECA CANADA INC"
"8000930","budesonide and formoterol","9012378","budesonide 200 mcg per actuation and formoterol fumarate 6 mcg per actuation inhalation powder","02245386","SYMBICORT 200 TURBUHALER (budesonide 200 mcg per actuation and formoterol fumarate dihydrate 6 mcg per actuation inhalation powder) ASTRAZENECA CANADA INC"
"8001099","brinzolamide and timolol","9012375","brinzolamide 1 % and timolol (timolol maleate) 0.5 % ophthalmic drops","02331624","AZARGA (brinzolamide 1 % and timolol (timolol maleate) 0.5 % ophthalmic drops) NOVARTIS PHARMACEUTICALS CANADA INC"
"8000982","formoterol and mometasone","9012380","formoterol fumarate 5 mcg per actuation and mometasone furoate 100 mcg per actuation pressurised inhalation","02361752","ZENHALE (formoterol fumarate dihydrate 5 mcg per actuation and mometasone furoate 100 mcg per actuation pressurised inhalation) MERCK CANADA INC"
"8000982","formoterol and mometasone","9012381","formoterol fumarate 5 mcg per actuation and mometasone furoate 200 mcg per actuation pressurised inhalation","02361760","ZENHALE (formoterol fumarate dihydrate 5 mcg per actuation and mometasone furoate 200 mcg per actuation pressurised inhalation) MERCK CANADA INC"
